Date,Symbol,Order,Shares
2009-12-31,ML4T-399,SELL,100
2010-01-05,ML4T-399,BUY,100
2010-01-15,ML4T-399,SELL,100
2010-01-27,ML4T-399,BUY,100
2010-02-08,ML4T-399,SELL,100
2010-02-18,ML4T-399,BUY,100
2010-03-02,ML4T-399,SELL,100
2010-03-12,ML4T-399,BUY,100
2010-03-23,ML4T-399,SELL,100
2010-04-05,ML4T-399,BUY,100
2010-04-14,ML4T-399,SELL,100
2010-04-26,ML4T-399,BUY,100
2010-05-05,ML4T-399,SELL,100
2010-05-17,ML4T-399,BUY,100
2010-05-27,ML4T-399,SELL,100
2010-06-08,ML4T-399,BUY,100
2010-06-18,ML4T-399,SELL,100
2010-06-29,ML4T-399,BUY,100
2010-07-12,ML4T-399,SELL,100
2010-07-21,ML4T-399,BUY,100
2010-08-02,ML4T-399,SELL,100
2010-08-11,ML4T-399,BUY,100
2010-08-23,ML4T-399,SELL,100
2010-09-02,ML4T-399,BUY,100
2010-09-14,ML4T-399,SELL,100
2010-09-24,ML4T-399,BUY,100
2010-10-05,ML4T-399,SELL,100
2010-10-15,ML4T-399,BUY,100
2010-10-26,ML4T-399,SELL,100
2010-11-05,ML4T-399,BUY,100
2010-11-17,ML4T-399,SELL,100
2010-11-29,ML4T-399,BUY,100
2010-12-09,ML4T-399,SELL,100
2010-12-20,ML4T-399,BUY,100
